Democrats,Republicans,Others,Total,ED,RD,year,month,county
1155,351,405,1911,01,04,2018,November,New Castle
592,649,411,1652,02,04,2018,November,New Castle
1019,372,317,1708,03,04,2018,November,New Castle
544,150,185,879,04,04,2018,November,New Castle
287,40,74,401,05,04,2018,November,New Castle
820,303,373,1496,06,04,2018,November,New Castle
965,332,385,1682,07,04,2018,November,New Castle
942,708,748,2398,08,04,2018,November,New Castle
636,89,208,933,09,04,2018,November,New Castle
222,52,67,341,10,04,2018,November,New Castle
559,588,417,1564,11,04,2018,November,New Castle
632,579,496,1707,12,04,2018,November,New Castle
178,51,78,307,13,04,2018,November,New Castle
196,48,60,304,14,04,2018,November,New Castle
214,242,169,625,15,04,2018,November,New Castle
120,28,48,196,16,04,2018,November,New Castle
1448,307,419,2174,01,05,2018,November,New Castle
742,230,293,1265,02,05,2018,November,New Castle
909,161,242,1312,03,05,2018,November,New Castle
1255,142,331,1728,04,05,2018,November,New Castle
971,151,331,1453,05,05,2018,November,New Castle
1104,164,259,1527,06,05,2018,November,New Castle
712,210,308,1230,07,05,2018,November,New Castle
1378,412,494,2284,08,05,2018,November,New Castle
1085,145,223,1453,09,05,2018,November,New Castle
1151,149,288,1588,10,05,2018,November,New Castle
605,334,367,1306,01,06,2018,November,New Castle
695,603,450,1748,02,06,2018,November,New Castle
174,135,110,419,03,06,2018,November,New Castle
672,303,375,1350,04,06,2018,November,New Castle
1156,336,416,1908,05,06,2018,November,New Castle
648,144,196,988,06,06,2018,November,New Castle
491,408,311,1210,07,06,2018,November,New Castle
1002,593,652,2247,08,06,2018,November,New Castle
1026,585,542,2153,09,06,2018,November,New Castle
638,623,450,1711,10,06,2018,November,New Castle
517,451,362,1330,11,06,2018,November,New Castle
725,594,475,1794,12,06,2018,November,New Castle
832,495,479,1806,01,07,2018,November,New Castle
778,608,520,1906,02,07,2018,November,New Castle
661,471,369,1501,03,07,2018,November,New Castle
1428,582,596,2606,04,07,2018,November,New Castle
